dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,10.875000,0.007810,0.780972,39.048619,1952.430936,0.000000
0.020000,0.000000,10.875000,0.007810,0.000000,-39.048619,-3904.861872,0.000000
0.020000,0.021526,10.875000,0.029336,1.076320,53.816022,4643.232021,0.000000
0.020000,0.115243,10.875000,0.123053,4.685834,180.475691,6332.983447,0.000000
0.020000,0.240199,10.875000,0.248008,6.247779,78.097237,-5118.922660,0.000000
0.020000,0.396393,10.875000,0.404203,7.809724,78.097237,-0.000000,0.000000
0.020000,0.583827,10.875000,0.591636,9.371668,78.097237,0.000000,0.000000
0.020000,0.802499,10.875000,0.810309,10.933613,78.097237,-0.000000,0.000000
0.020000,1.052410,10.875000,1.060220,12.495558,78.097237,0.000000,0.000000
0.020000,1.333560,10.875000,1.341370,14.057503,78.097237,-0.000000,0.000000
0.020000,1.645949,10.875000,1.653759,15.619447,78.097237,-0.000000,0.000000
0.020000,1.989577,10.875000,1.997387,17.181392,78.097237,-0.000000,0.000000
0.020000,2.364444,10.875000,2.372253,18.743337,78.097237,0.000000,0.000000
0.020000,2.770549,10.875000,2.778359,20.305282,78.097237,0.000000,0.000000
0.020000,3.207894,10.875000,3.215703,21.867226,78.097237,-0.000000,0.000000
0.020000,3.676477,10.875000,3.684287,23.429171,78.097237,-0.000000,0.000000
0.020000,4.176299,10.875000,4.184109,24.991116,78.097237,0.000000,0.000000
0.020000,4.707361,10.875000,4.715170,26.553061,78.097237,-0.000000,0.000000
0.020000,5.269661,10.875000,5.277470,28.115005,78.097237,-0.000000,0.000000
0.020000,5.863200,10.875000,5.871009,29.676950,78.097237,-0.000000,0.000000
0.020000,6.487978,10.875000,6.495787,31.238895,78.097237,0.000000,0.000000
0.020000,7.143994,10.875000,7.151804,32.800840,78.097237,-0.000000,0.000000
0.020000,7.831250,10.875000,7.839060,34.362784,78.097237,0.000000,0.000000
0.020000,8.549745,10.875000,8.557554,35.924729,78.097237,-0.000000,0.000000
0.020000,9.299478,10.875000,9.307288,37.486674,78.097237,0.000000,0.000000
0.020000,10.080451,10.875000,10.088260,39.048619,78.097237,0.000000,0.000000
0.020000,10.892662,10.875000,10.900472,40.610563,78.097237,-0.000000,0.000000
0.020000,11.736112,10.875000,11.743922,42.172508,78.097237,-0.000000,0.000000
0.020000,12.610801,10.875000,12.618611,43.734453,78.097237,0.000000,0.000000
0.020000,13.516729,10.875000,13.524539,45.296398,78.097237,-0.000000,0.000000
0.020000,14.453896,10.875000,14.461706,46.858342,78.097237,-0.000000,0.000000
0.020000,15.422302,10.875000,15.430111,48.420287,78.097237,0.000000,0.000000
0.020000,16.421946,10.875000,16.429756,49.982232,78.097237,-0.000000,0.000000
0.020000,17.452830,10.875000,17.460640,51.544177,78.097237,0.000000,0.000000
0.020000,18.514952,10.875000,18.522762,53.106121,78.097237,-0.000000,0.000000
0.020000,19.608314,10.875000,19.616123,54.668066,78.097237,0.000000,0.000000
0.020000,20.732914,10.875000,20.740724,56.230011,78.097237,0.000000,0.000000
0.020000,21.888753,10.875000,21.896563,57.791956,78.097237,0.000000,0.000000
0.020000,23.075831,10.875000,23.083641,59.353900,78.097237,-0.000000,0.000000
0.020000,24.294148,10.875000,24.301958,60.915845,78.097237,0.000000,0.000000
0.020000,25.543704,10.875000,25.551513,62.477790,78.097237,0.000000,0.000000
0.020000,26.824498,10.875000,26.832308,64.039735,78.097237,0.000000,0.000000
0.020000,28.136532,10.875000,28.144342,65.601679,78.097237,-0.000000,0.000000
