dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.641040,74.905973,0.007855,0.785474,39.273707,1963.685345,0.018194
0.020000,15.641948,74.905989,0.008763,0.045404,-37.003514,-3813.861044,0.018110
0.020000,15.643762,74.906022,0.010578,0.090757,2.267656,1963.558494,0.017943
0.020000,15.707487,74.907155,0.074313,3.186749,154.799585,7626.596434,0.017693
0.020000,15.836766,74.909421,0.203611,6.464904,163.907782,455.409855,0.017360
0.020000,15.998357,74.912193,0.365226,8.080759,80.792740,-4155.752069,0.016945
0.020000,16.192257,74.915431,0.559153,9.696342,80.779150,-0.679532,0.016447
0.020000,16.418461,74.919086,0.785387,11.311681,80.766940,-0.610464,0.015867
0.020000,16.676962,74.923102,1.043919,12.926614,80.746679,-1.013085,0.015207
0.020000,16.967753,74.927417,1.334742,14.541166,80.727596,-0.954113,0.014467
0.020000,17.290826,74.931959,1.657847,16.155255,80.704407,-1.159471,0.013647
0.020000,17.646173,74.936649,2.013225,17.768869,80.680710,-1.184861,0.012749
0.020000,18.033782,74.941401,2.400863,19.381892,80.651182,-1.476403,0.011773
0.020000,18.453642,74.946123,2.820749,20.994337,80.622229,-1.447650,0.010721
0.020000,18.905741,74.950715,3.272872,22.606120,80.589167,-1.653080,0.009594
0.020000,19.390064,74.955071,3.757215,24.217163,80.552122,-1.852273,0.008393
0.020000,19.906599,74.959077,4.273765,25.827493,80.516530,-1.779586,0.007120
0.020000,20.455327,74.962615,4.822504,27.436967,80.473670,-2.142992,0.005776
0.020000,21.036231,74.965559,5.403416,29.045577,80.430514,-2.157814,0.004362
0.020000,21.649292,74.967779,6.016481,30.653273,80.384823,-2.284547,0.002881
0.020000,22.294491,74.969139,6.661681,32.259990,80.335846,-2.448844,0.001335
0.020000,22.971804,74.969496,7.338995,33.865680,80.284498,-2.567381,6.282909
0.020000,23.681209,74.968707,8.048400,35.470270,80.229461,-2.751878,6.281237
0.020000,24.422681,74.966619,8.789875,37.073731,80.173086,-2.818766,6.279505
0.020000,25.196193,74.963078,9.563395,38.675995,80.113177,-2.995428,6.277715
0.020000,26.001716,74.957927,10.368935,40.277005,80.050516,-3.133037,6.275870
0.020000,26.839222,74.951004,11.206469,41.876703,79.984893,-3.281150,6.273972
0.020000,27.708677,74.942144,12.075969,43.475035,79.916587,-3.415313,6.272023
0.020000,28.610050,74.931181,12.977409,45.071970,79.846767,-3.490985,6.270027
0.020000,29.543304,74.917945,13.910757,46.667401,79.771541,-3.761303,6.267986
0.020000,30.508403,74.902267,14.875983,48.261319,79.695887,-3.782690,6.265902
