dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.036735,53.159573,0.007855,0.785474,39.273707,1963.685345,0.018194
0.020000,16.035827,53.159556,0.008763,0.045404,-37.003514,-3813.861044,0.018110
0.020000,16.034012,53.159523,0.010578,0.090757,2.267656,1963.558494,0.017943
0.020000,16.092298,53.160559,0.068873,2.914729,141.198598,6946.547125,0.017693
0.020000,16.214333,53.162698,0.190926,6.102679,159.397504,909.945267,0.017360
0.020000,16.366885,53.165315,0.343501,7.628726,76.302325,-4154.758959,0.016945
0.020000,16.549959,53.168372,0.526601,9.155001,76.313768,0.572194,0.016447
0.020000,16.763564,53.171824,0.740233,10.681629,76.331405,0.881813,0.015867
0.020000,17.007706,53.175617,0.984404,12.208556,76.346343,0.746922,0.015207
0.020000,17.282393,53.179693,1.259122,13.735902,76.367321,1.048880,0.014467
0.020000,17.587637,53.183984,1.564396,15.263690,76.389368,1.102342,0.013647
0.020000,17.923448,53.188416,1.900236,16.792008,76.415908,1.327042,0.012749
0.020000,18.289837,53.192908,2.266653,18.320847,76.441940,1.301564,0.011773
0.020000,18.686819,53.197373,2.663660,19.850317,76.473543,1.580174,0.010721
0.020000,19.114405,53.201716,3.091268,21.380444,76.506322,1.638943,0.009594
0.020000,19.572612,53.205837,3.549494,22.911252,76.540423,1.705046,0.008393
0.020000,20.061455,53.209628,4.038351,24.442873,76.581022,2.029960,0.007120
0.020000,20.580949,53.212978,4.557856,25.975271,76.619900,1.943881,0.005776
0.020000,21.131113,53.215766,5.108027,27.508544,76.663684,2.189225,0.004362
0.020000,21.711964,53.217869,5.688882,29.042750,76.710291,2.330340,0.002881
0.020000,22.323522,53.219158,6.300441,30.577931,76.759040,2.437458,0.001335
0.020000,22.965804,53.219497,6.942724,32.114148,76.810830,2.589482,6.282909
0.020000,23.638833,53.218748,7.615753,33.651436,76.864439,2.680463,6.281237
0.020000,24.342627,53.216766,8.319550,35.189879,76.922128,2.884436,6.279505
0.020000,25.077210,53.213404,9.054141,36.729516,76.981841,2.985660,6.277715
0.020000,25.842602,53.208509,9.819549,38.270403,77.044344,3.125170,6.275870
0.020000,26.638827,53.201927,10.615800,39.812592,77.109461,3.255841,6.273972
0.020000,27.465907,53.193499,11.442923,41.356141,77.177477,3.400782,6.272023
0.020000,28.323866,53.183064,12.300946,42.901132,77.249523,3.602307,6.270027
0.020000,29.212728,53.170458,13.189897,44.447570,77.321909,3.619310,6.267986
0.020000,30.132518,53.155516,14.109808,45.995558,77.399385,3.873805,6.265902
0.020000,31.083261,53.138071,15.060711,47.545134,77.478815,3.971478,6.263780
0.020000,32.064981,53.117954,16.042638,49.096343,77.560419,4.080206,6.261621
0.020000,33.077707,53.094998,17.055623,50.649264,77.646090,4.283563,6.259428
0.020000,34.121462,53.069033,18.099702,52.203935,77.733525,4.371737,6.257206
0.020000,35.196276,53.039891,19.174910,53.760424,77.824445,4.546007,6.254957
0.020000,36.302174,53.007405,20.281286,55.318777,77.917650,4.660242,6.252686
0.020000,37.439186,52.971407,21.418867,56.879070,78.014667,4.850830,6.250394
0.020000,38.607339,52.931734,22.587694,58.441331,78.113067,4.920025,6.248087
0.020000,39.806663,52.888224,23.787807,60.005636,78.215251,5.109184,6.245767
0.020000,41.037187,52.840718,25.019247,61.572032,78.319798,5.227353,6.243439
0.020000,42.298942,52.789062,26.282059,63.140580,78.427368,5.378521,6.241106
0.020000,43.591958,52.733104,27.576285,64.711326,78.537337,5.498416,6.238773
0.020000,44.916268,52.672698,28.901972,66.284336,78.650459,5.656111,6.236444
0.020000,46.271904,52.607704,30.259165,67.859656,78.765998,5.776958,6.234123
0.020000,47.658899,52.537988,31.647912,69.437338,78.884107,5.905466,6.231815
0.020000,49.077289,52.463422,33.068261,71.017442,79.005234,6.056358,6.229523
0.020000,50.527110,52.383887,34.520261,72.600017,79.128737,6.175149,6.227253
0.020000,52.008397,52.299271,36.003964,74.185117,79.255007,6.313501,6.225008
0.020000,53.521190,52.209472,37.519419,75.772794,79.383848,6.442042,6.222795
0.020000,55.065529,52.114396,39.066681,77.363101,79.515318,6.573489,6.220617
0.020000,56.641453,52.013961,40.645803,78.956087,79.649297,6.698959,6.218479
0.020000,58.249007,51.908096,42.256839,80.551804,79.785889,6.829587,6.216387
0.020000,59.888235,51.796742,43.899845,82.150305,79.925036,6.957334,6.214346
0.020000,61.559185,51.679852,45.574878,83.751637,80.066588,7.077624,6.212360
0.020000,63.261904,51.557395,47.281995,85.355854,80.210870,7.214079,6.210436
0.020000,64.996444,51.429350,49.021255,86.963005,80.357523,7.332669,6.208579
0.020000,66.762860,51.295717,50.792718,88.573140,80.506740,7.460848,6.206793
0.020000,68.561206,51.156508,52.596444,90.186308,80.658427,7.584328,6.205085
0.020000,70.391542,51.011754,54.432496,91.802562,80.812690,7.713188,6.203461
0.020000,72.253930,50.861502,56.300934,93.421948,80.969328,7.831878,6.201925
0.020000,74.148434,50.705821,58.201825,95.044521,81.128630,7.965083,6.200484
0.020000,76.075124,50.544798,60.135232,96.670329,81.290414,8.089229,6.199145
0.020000,78.034070,50.378541,62.101220,98.299426,81.454842,8.221408,6.197912
0.020000,80.025347,50.207180,64.099857,99.931860,81.621700,8.342861,6.196792
0.020000,82.049035,50.030868,66.131211,101.567684,81.791179,8.473992,6.195792
0.020000,84.105215,49.849781,68.195350,103.206951,81.963374,8.609730,6.194917
0.020000,86.193975,49.664123,70.292344,104.849715,82.138173,8.739942,6.194175
0.020000,88.315404,49.474120,72.422265,106.496028,82.315642,8.873458,6.193571
0.020000,90.469596,49.280028,74.585184,108.145944,82.495809,9.008366,6.193112
