dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.010509,10.874995,0.007859,0.785908,39.295383,1964.769136,6.282219
0.020000,0.009087,10.874996,0.009281,0.071095,-35.740655,-3751.801910,6.282350
0.020000,0.006242,10.874998,0.012126,0.142245,3.557522,1964.908850,6.282611
0.020000,0.001972,10.875000,0.016396,0.213507,3.563114,0.279611,6.283004
0.020000,0.078520,10.875013,0.092945,3.827427,180.695984,8856.643510,0.000343
0.020000,0.228540,10.875114,0.242964,7.500966,183.676957,149.048645,0.000999
0.020000,0.408594,10.875365,0.423018,9.002719,75.087656,-5429.465042,0.001788
0.020000,0.618613,10.875837,0.633038,10.501003,74.914172,-8.674204,0.002711
0.020000,0.858593,10.876615,0.873019,11.999055,74.902606,-0.578301,0.003769
0.020000,1.128514,10.877794,1.142943,13.496186,74.856571,-2.301763,0.004964
0.020000,1.428402,10.879482,1.442836,14.994620,74.921670,3.254987,0.006296
0.020000,1.758194,10.881801,1.772636,16.490022,74.770115,-7.577763,0.007767
0.020000,2.117882,10.884884,2.132337,17.985030,74.750401,-0.985684,0.009380
0.020000,2.507420,10.888880,2.521896,19.477963,74.646631,-5.188541,0.011135
0.020000,2.926840,10.893948,2.941346,20.972499,74.726807,4.008799,0.013036
0.020000,3.376066,10.900264,3.390617,22.463543,74.552207,-8.729995,0.015084
0.020000,3.855065,10.908016,3.869679,23.953095,74.477633,-3.728669,0.017282
0.020000,4.363847,10.917407,4.378547,25.443439,74.517174,1.977032,0.019633
0.020000,4.902324,10.928655,4.917141,26.929693,74.312721,-10.222646,0.022140
0.020000,5.470459,10.941992,5.485432,28.414563,74.243467,-3.462722,0.024806
0.020000,6.068213,10.957668,6.083392,29.897974,74.170549,-3.645903,0.027634
0.020000,6.695556,10.975947,6.711002,31.380497,74.126176,-2.218652,0.030629
0.020000,7.352403,10.997111,7.368189,32.859366,73.943462,-9.135662,0.033793
0.020000,8.038693,11.021457,8.054911,34.336100,73.836683,-5.338947,0.037132
0.020000,8.754367,11.049301,8.771126,35.810752,73.732585,-5.204897,0.040649
0.020000,9.499379,11.080980,9.516811,37.284260,73.675425,-2.858035,0.044349
0.020000,10.273581,11.116843,10.291844,38.751643,73.369139,-15.314267,0.048238
0.020000,11.076964,11.157267,11.096244,40.219972,73.416429,2.364504,0.052320
0.020000,11.909388,11.202643,11.929904,41.682992,73.151019,-13.270500,0.056601
0.020000,12.770753,11.253384,12.792761,43.142874,72.994115,-7.845216,0.061088
0.020000,13.660943,11.309927,13.684746,44.599226,72.817590,-8.826252,0.065787
0.020000,14.579850,11.372730,14.605796,46.052522,72.664811,-7.638972,0.070703
0.020000,15.527351,11.442277,15.555846,47.502518,72.499800,-8.250531,0.075846
0.020000,16.503271,11.519071,16.534783,48.946828,72.215487,-14.215673,0.081221
0.020000,17.507460,11.603644,17.542526,50.387167,72.016928,-9.927909,0.086837
0.020000,18.539764,11.696556,18.579004,51.823889,71.836130,-9.039928,0.092703
0.020000,19.600003,11.798392,19.644122,53.255886,71.599826,-11.815169,0.098827
0.020000,20.687958,11.909766,20.737762,54.682029,71.307150,-14.633815,0.105219
0.020000,21.803379,12.031315,21.859788,56.101257,70.961431,-17.285975,0.111888
0.020000,22.946108,12.163724,23.010161,57.518698,70.872048,-4.469149,0.118845
0.020000,24.115821,12.307690,24.188701,58.926973,70.413732,-22.915797,0.126102
0.020000,25.312254,12.463955,25.395295,60.329709,70.136790,-13.847088,0.133669
0.020000,26.535099,12.633289,26.629809,61.725696,69.799356,-16.871710,0.141558
0.020000,27.784028,12.816503,27.892105,63.114816,69.455982,-17.168665,0.149784
0.020000,29.058703,13.014444,29.182057,64.497596,69.139019,-15.848155,0.158359
0.020000,30.358711,13.227991,30.499488,65.871539,68.697166,-22.092653,0.167297
0.020000,31.683632,13.458068,31.844238,67.237477,68.296866,-20.015017,0.176613
0.020000,33.033012,13.705637,33.216140,68.595136,67.882959,-20.695371,0.186323
0.020000,34.406339,13.971698,34.615002,69.943080,67.397215,-24.287164,0.196443
0.020000,35.803130,14.257310,36.040695,71.284642,67.078115,-15.955011,0.206990
0.020000,37.222746,14.563551,37.492966,72.613582,66.446985,-31.556500,0.217982
0.020000,38.664581,14.891559,38.971641,73.933740,66.007873,-21.955593,0.229436
0.020000,40.127957,15.242516,40.476513,75.243585,65.492278,-25.779747,0.241373
0.020000,41.612118,15.617639,42.007346,76.541662,64.903866,-29.420621,0.253811
0.020000,43.116323,16.018216,43.563976,77.831470,64.490384,-20.674094,0.266770
0.020000,44.639671,16.445549,45.146127,79.107588,63.805876,-34.225420,0.280272
0.020000,46.181255,16.901007,46.753585,80.372911,63.266189,-26.984325,0.294338
0.020000,47.740074,17.385994,48.386108,81.626108,62.659823,-30.318286,0.308987
0.020000,49.315106,17.901977,50.043505,82.869859,62.187551,-23.613618,0.324243
0.020000,50.905168,18.450437,51.725499,84.099717,61.492905,-34.732274,0.340126
0.020000,52.509056,19.032916,53.431880,85.319063,60.967303,-26.280100,0.356658
0.020000,54.125458,19.650988,55.162421,86.527010,60.397368,-28.496764,0.373857
0.020000,55.752995,20.306268,56.916920,87.724985,59.898719,-24.932469,0.391745
0.020000,57.390173,21.000393,58.695167,88.912345,59.367989,-26.536472,0.410339
0.020000,59.035437,21.735038,60.496998,90.091555,58.960519,-20.373532,0.429655
0.020000,60.687117,22.511894,62.322252,91.262687,58.556612,-20.195349,0.449709
0.020000,62.343450,23.332663,64.170792,92.427007,58.215977,-17.031733,0.470510
0.020000,64.002602,24.199068,66.042542,93.587469,58.023112,-9.643237,0.492068
