dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.007859,0.785908,39.295383,1964.769136,6.282219
0.020000,0.000000,0.000000,0.039295,2.357723,78.590765,1964.769136,6.282350
0.020000,0.000000,0.000000,0.102168,3.929538,78.590765,-0.000000,6.282611
0.020000,0.000000,0.000000,0.196477,5.501354,78.590765,0.000000,6.283004
0.020000,0.082249,0.000014,0.322222,7.073169,78.590765,0.000000,0.000343
0.020000,0.239404,0.000120,0.479404,8.644984,78.590765,-0.000000,0.000999
0.020000,0.428041,0.000382,0.668022,10.216800,78.590765,-0.000000,0.001788
0.020000,0.648100,0.000877,0.888076,11.788615,78.590765,0.000000,0.002711
0.020000,0.899586,0.001692,1.139566,13.360430,78.590765,-0.000000,0.003769
0.020000,1.182495,0.002928,1.422493,14.932245,78.590765,0.000000,0.004964
0.020000,1.496869,0.004697,1.736856,16.504061,78.590765,0.000000,0.006296
0.020000,1.842661,0.007129,2.082655,18.075876,78.590765,-0.000000,0.007767
0.020000,2.219883,0.010362,2.459891,19.647691,78.590765,0.000000,0.009380
0.020000,2.628510,0.014554,2.868563,21.219507,78.590765,-0.000000,0.011135
0.020000,3.068598,0.019872,3.308671,22.791322,78.590765,0.000000,0.013036
0.020000,3.540097,0.026501,3.780216,24.363137,78.590765,0.000000,0.015084
0.020000,4.042999,0.034640,4.283197,25.934953,78.590765,0.000000,0.017282
0.020000,4.577346,0.044503,4.817614,27.506768,78.590765,0.000000,0.019633
0.020000,5.143080,0.056320,5.383467,29.078583,78.590765,-0.000000,0.022140
0.020000,5.740198,0.070338,5.980757,30.650399,78.590765,0.000000,0.024806
0.020000,6.368699,0.086820,6.609483,32.222214,78.590765,0.000000,0.027634
0.020000,7.028594,0.106048,7.269646,33.794029,78.590765,-0.000000,0.030629
0.020000,7.719834,0.128320,7.961245,35.365844,78.590765,0.000000,0.033793
0.020000,8.442407,0.153953,8.684280,36.937660,78.590765,0.000000,0.037132
0.020000,9.196299,0.183285,9.438751,38.509475,78.590765,0.000000,0.040649
0.020000,9.981517,0.216673,10.224659,40.081290,78.590765,0.000000,0.044349
0.020000,10.797962,0.254493,11.042003,41.653106,78.590765,-0.000000,0.048238
0.020000,11.645684,0.297148,11.890783,43.224921,78.590765,0.000000,0.052320
0.020000,12.524601,0.345059,12.770999,44.796736,78.590765,0.000000,0.056601
0.020000,13.434675,0.398670,13.682652,46.368552,78.590765,0.000000,0.061088
0.020000,14.375857,0.458452,14.625741,47.940367,78.590765,0.000000,0.065787
0.020000,15.348110,0.524901,15.600267,49.512182,78.590765,0.000000,0.070703
0.020000,16.351384,0.598542,16.606229,51.083998,78.590765,-0.000000,0.075846
0.020000,17.385580,0.679922,17.643627,52.655813,78.590765,0.000000,0.081221
0.020000,18.450629,0.769621,18.712461,54.227628,78.590765,0.000000,0.086837
0.020000,19.546466,0.868251,19.812732,55.799443,78.590765,0.000000,0.092703
0.020000,20.672998,0.976456,20.944439,57.371259,78.590765,0.000000,0.098827
0.020000,21.830101,1.094908,22.107582,58.943074,78.590765,-0.000000,0.105219
0.020000,23.017622,1.224316,23.302162,60.514889,78.590765,0.000000,0.111888
0.020000,24.235509,1.365434,24.528178,62.086705,78.590765,0.000000,0.118845
0.020000,25.483544,1.519041,25.785630,63.658520,78.590765,0.000000,0.126102
0.020000,26.761574,1.685963,27.074519,65.230335,78.590765,-0.000000,0.133669
0.020000,28.069410,1.867068,28.394844,66.802151,78.590765,0.000000,0.141558
0.020000,29.406844,2.063266,29.746605,68.373966,78.590765,0.000000,0.149784
0.020000,30.773665,2.275518,31.129802,69.945781,78.590765,-0.000000,0.158359
0.020000,32.169589,2.504823,32.544436,71.517597,78.590765,0.000000,0.167297
0.020000,33.594331,2.752235,33.990506,73.089412,78.590765,-0.000000,0.176613
0.020000,35.047573,3.018861,35.468012,74.661227,78.590765,-0.000000,0.186323
0.020000,36.528944,3.305857,36.976955,76.233042,78.590765,0.000000,0.196443
0.020000,38.038109,3.614449,38.517334,77.804858,78.590765,-0.000000,0.206990
0.020000,39.574570,3.945898,40.089149,79.376673,78.590765,0.000000,0.217982
