dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.010509,-10.874995,0.007859,0.785908,39.295383,1964.769136,6.282219
0.020000,-0.009087,-10.874996,0.009281,0.071095,-35.740655,-3751.801910,6.282350
0.020000,-0.006242,-10.874998,0.012126,0.142245,3.557522,1964.908850,6.282611
0.020000,-0.001972,-10.875000,0.016396,0.213507,3.563114,0.279611,6.283004
0.020000,0.085978,-10.874985,0.104346,4.397488,209.199052,10281.796913,0.000343
0.020000,0.250268,-10.874875,0.268636,8.214507,190.850940,-917.405606,0.000999
0.020000,0.447489,-10.874600,0.465857,9.861060,82.327649,-5426.164552,0.001788
0.020000,0.677586,-10.874083,0.695955,11.504881,82.191072,-6.828862,0.002711
0.020000,0.940579,-10.873230,0.958949,13.149703,82.241065,2.499678,0.003769
0.020000,1.236475,-10.871938,1.254848,14.794957,82.262711,1.082305,0.004964
0.020000,1.565335,-10.870087,1.583713,16.443274,82.415849,7.656889,0.006296
0.020000,1.927128,-10.867543,1.945515,18.090100,82.341278,-3.728565,0.007767
0.020000,2.321884,-10.864159,2.340286,19.738526,82.421330,4.002621,0.009380
0.020000,2.749600,-10.859772,2.768024,21.386916,82.419478,-0.092601,0.011135
0.020000,3.210357,-10.854204,3.228815,23.039522,82.630303,10.541227,0.013036
0.020000,3.704128,-10.847262,3.722634,24.690969,82.572337,-2.898296,0.015084
0.020000,4.230932,-10.838736,4.249508,26.343679,82.635504,3.158338,0.017282
0.020000,4.790845,-10.828401,4.809516,28.000399,82.836030,10.026340,0.019633
0.020000,5.383836,-10.816014,5.402636,29.656005,82.780301,-2.786461,0.022140
0.020000,6.009938,-10.801316,6.028910,31.313723,82.885898,5.279841,0.024806
0.020000,6.669186,-10.784028,6.688385,32.973736,83.000662,5.738195,0.027634
0.020000,7.361631,-10.763851,7.381124,34.636951,83.160716,8.002688,0.030629
0.020000,8.087266,-10.740471,8.107136,36.300598,83.182373,1.082861,0.033793
0.020000,8.846122,-10.713551,8.866469,37.966651,83.302641,6.013403,0.037132
0.020000,9.638232,-10.682732,9.659179,39.635480,83.441473,6.941584,0.040649
0.020000,10.463655,-10.647634,10.485348,41.308454,83.648692,10.360951,0.044349
0.020000,11.322342,-10.607857,11.344955,42.980391,83.596840,-2.592562,0.048238
0.020000,12.214404,-10.562970,12.238145,44.659488,83.954824,17.899171,0.052320
0.020000,13.139813,-10.512526,13.164929,46.339181,83.984675,1.492559,0.056601
0.020000,14.098597,-10.456045,14.125374,48.022269,84.154396,8.486047,0.061088
0.020000,15.090772,-10.393024,15.119549,49.708726,84.322835,8.421941,0.065787
0.020000,16.116369,-10.322928,16.147539,51.399513,84.539349,10.825698,0.070703
0.020000,17.175416,-10.245194,17.209435,53.094813,84.765020,11.283579,0.075846
0.020000,18.267888,-10.159228,18.305284,54.792433,84.881005,5.799215,0.081221
0.020000,19.393798,-10.064402,19.435180,56.494785,85.117586,11.829049,0.086837
0.020000,20.553167,-9.960053,20.599235,58.202793,85.400390,14.140236,0.092703
0.020000,21.745992,-9.845480,21.797551,59.915762,85.648471,12.404044,0.098827
0.020000,22.972244,-9.719949,23.030211,61.632996,85.861718,10.662322,0.105219
0.020000,24.231865,-9.582684,24.297288,63.353891,86.044729,9.150556,0.111888
0.020000,25.524910,-9.432856,25.598986,65.084867,86.548776,25.202346,0.118845
0.020000,26.851267,-9.269609,26.935351,66.818239,86.668634,5.992925,0.126102
0.020000,28.210895,-9.092028,28.306526,68.558788,87.027428,17.939685,0.133669
0.020000,29.603721,-8.899153,29.712643,70.305850,87.353092,16.283203,0.141558
0.020000,31.029659,-8.689970,31.153844,72.060023,87.708675,17.779150,0.149784
0.020000,32.488626,-8.463408,32.630297,73.822675,88.132581,21.195322,0.158359
0.020000,33.980467,-8.218346,34.142132,75.591729,88.452692,16.005551,0.167297
0.020000,35.505029,-7.953598,35.689510,77.368930,88.860065,20.368624,0.176613
0.020000,37.062134,-7.667914,37.272606,79.154781,89.292566,21.625041,0.186323
0.020000,38.651549,-7.359984,38.891575,80.948445,89.683210,19.532213,0.196443
0.020000,40.273088,-7.028412,40.546667,82.754613,90.308397,31.259349,0.206990
0.020000,41.926393,-6.671755,42.238005,84.566870,90.612813,15.220803,0.217982
0.020000,43.611155,-6.288476,43.965814,86.390468,91.179934,28.356034,0.229436
0.020000,45.326987,-5.876968,45.730302,88.224406,91.696863,25.846464,0.241373
0.020000,47.073419,-5.435548,47.531656,90.067692,92.164342,23.373940,0.253811
0.020000,48.850002,-4.962428,49.370158,91.925110,92.870885,35.327184,0.266770
0.020000,50.656099,-4.455769,51.245975,93.790839,93.286458,20.778631,0.280272
0.020000,52.491060,-3.913624,53.159350,95.668742,93.895164,30.435303,0.294338
0.020000,54.354119,-3.333969,55.110501,97.557538,94.439792,27.231389,0.308987
0.020000,56.244473,-2.714676,57.099712,99.460558,95.150959,35.558358,0.324243
0.020000,58.161102,-2.053561,59.127159,101.372359,95.590096,21.956827,0.340126
0.020000,60.102940,-1.348335,61.193091,103.296606,96.212349,31.112684,0.356658
0.020000,62.068754,-0.596642,63.297721,105.231513,96.745352,26.650114,0.373857
0.020000,64.057187,0.203958,65.441275,107.177705,97.309586,28.211719,0.391745
0.020000,66.066687,1.055955,67.623932,109.132838,97.756627,22.352042,0.410339
0.020000,68.095563,1.961910,69.845889,111.097852,98.250733,24.705295,0.429655
0.020000,70.141910,2.924413,72.107293,113.070179,98.616319,18.279333,0.449709
0.020000,72.203614,3.946078,74.408254,115.048056,98.893878,13.877928,0.470510
0.020000,74.278375,5.029535,76.748876,117.031129,99.153643,12.988263,0.492068
